promo_group_id,promo_name,promo_type,start_date,end_date,target_kit_id,target_kit_ids,platform_name,condition_qty,gift_qty,gift_kit_id
G_0121,ROERANCE | 바디미스트,Q_BASED,2024-05-26,2024-05-27,832114998,{832114998},G마켓,2,1,
G_0122,BATHPA | 스크럽워시,PRICE_ONLY,2024-05-28,2024-05-29,2397735259,{2397735259},G마켓,1,0,
G_0123,MIMI 모먼트 | 핸드워시,Q_BASED,2024-05-28,2024-05-29,B722843500,{B722843500},옥션,2,1,
G_0124,MIMI 모먼트 | 핸드워시,Q_BASED,2024-05-30,2024-06-03,45427729,{45427729},홈앤쇼핑,1,1,
G_0125,ROERANCE | 바디미스트,Q_BASED,2024-05-29,2024-05-30,832114998,{832114998},G마켓,1,1,
G_0126,BATHPA | 스크럽워시,PRICE_ONLY,2024-06-03,2024-06-04,2397735259,{2397735259},G마켓,1,0,
G_0127,PEDISON 바디 | 여성청결제,Q_BASED,2024-06-08,2024-06-10,483648529,{483648529},G마켓,1,1,
G_0128,BORDO | 풋마스크,PRICE_ONLY,2024-06-09,2024-06-10,1501818790,{1501818790},G마켓,1,0,
G_0129,BORDO | 풋마스크,PRICE_ONLY,2024-06-07,2024-06-10,B307002308,{B307002308},옥션,1,0,
G_0130,MIMI 모먼트 | 핸드워시,PRICE_ONLY,2024-06-09,2024-06-10,B722843500,{B722843500},옥션,1,0,
G_0131,BATHPA | 스크럽워시,PRICE_ONLY,2024-06-10,2024-06-11,C561340751,{C561340751},옥션,1,0,
G_0132,PEDISON 바디 | 데오드 바디워시,PRICE_ONLY,2024-06-10,2024-06-11,B872317852,{B872317852},옥션,1,0,
G_0133,ROERANCE | 바디미스트,Q_BASED,2024-06-04,2024-06-05,832114998,{832114998},G마켓,1,1,
G_0134,CHARCHAR | 헤어세럼,Q_BASED,2024-06-04,2024-06-05,1692731979,{1692731979},G마켓,1,1,
G_0135,BATHPA | 스크럽워시,PRICE_ONLY,2024-06-04,2024-06-05,C561340751,{C561340751},옥션,1,0,
G_0136,MIMI 퍼퓸 | 드레스퍼퓸,Q_BASED,2024-06-06,2024-06-07,1513422925,{1513422925},G마켓,1,1,
