kit_id,product_id,multiplier
로즈마인_워시; 블레싱,RPBC006,1
로즈마인_워시: 글래밍,RPBC003,1
로즈마인_워시: 글래밍 + 로션: 글래밍,RPBC003,1
로즈마인_워시: 글래밍 + 로션: 글래밍,RMBL003,1
로즈마인_워시: 글래밍 + 워시: 머스크,RPBC003,1
로즈마인_워시: 글래밍 + 워시: 머스크,RPBC004,1
로즈마인_워시: 글래밍 + 워시: 모링가,RPBC003,1
로즈마인_워시: 글래밍 + 워시: 모링가,RPBC008,1
로즈마인_워시: 글래밍 + 워시: 플로럴,RPBC003,1
로즈마인_워시: 글래밍 + 워시: 플로럴,RPBC001,1
로즈마인_워시: 글래밍 x2,RPBC003,2
로즈마인_워시: 글래밍 x3,RPBC003,3
로즈마인_워시: 글리밍 x2,RPBC003,2
로즈마인_워시: 머스크,RPBC004,1
로즈마인_워시: 머스크 + 로션: 글래밍,RPBC004,1
로즈마인_워시: 머스크 + 로션: 글래밍,RMBL003,1
로즈마인_워시: 머스크 + 로션: 머스크,RPBC004,1
로즈마인_워시: 머스크 + 로션: 머스크,RMBL004,1
로즈마인_워시: 머스크 + 워시: 머스크,RPBC004,2
로즈마인_워시: 머스크 + 워시: 모링가,RPBC004,1
로즈마인_워시: 머스크 + 워시: 모링가,RPBC008,1
로즈마인_워시: 머스크 + 워시: 쁘띠,RPBC004,1
로즈마인_워시: 머스크 + 워시: 쁘띠,RPBC002,1
로즈마인_워시: 머스크 + 워시: 클래식,RPBC004,1
로즈마인_워시: 머스크 + 워시: 클래식,RPBC017,1
로즈마인_워시: 머스크 x2,RPBC004,2
로즈마인_워시: 머스크 x3,RPBC004,3
로즈마인_워시: 모링가,RPBC008,1
로즈마인_워시: 모링가 + 로션: 모링가,RPBC008,1
로즈마인_워시: 모링가 + 로션: 모링가,RMBL014,1
로즈마인_워시: 모링가 + 로션: 쁘띠,RPBC008,1
로즈마인_워시: 모링가 + 로션: 쁘띠,RMBL002,1
로즈마인_워시: 모링가 + 워시: 블레싱,RPBC008,1
로즈마인_워시: 모링가 + 워시: 블레싱,RPBC006,1
로즈마인_워시: 모링가 + 워시: 쁘띠,RPBC008,1
로즈마인_워시: 모링가 + 워시: 쁘띠,RPBC002,1
로즈마인_워시: 모링가 x2,RPBC008,2
로즈마인_워시: 블레싱,RPBC006,1
로즈마인_워시: 블레싱 + 로션: 블레싱,RPBC006,1
로즈마인_워시: 블레싱 + 로션: 블레싱,RMBL006,1
로즈마인_워시: 블레싱 + 워시: 가든로즈,RPBC006,1
로즈마인_워시: 블레싱 + 워시: 가든로즈,RPBC015,1
로즈마인_워시: 블레싱 + 워시: 머스크,RPBC006,1
로즈마인_워시: 블레싱 + 워시: 머스크,RPBC004,1
로즈마인_워시: 블레싱 + 워시: 플로럴,RPBC006,1
로즈마인_워시: 블레싱 + 워시: 플로럴,RPBC001,1
로즈마인_워시: 블레싱 x2,RPBC006,2
로즈마인_워시: 블레싱 x3,RPBC006,3
로즈마인_워시: 쁘띠,RPBC002,1
로즈마인_워시: 쁘띠 + 로션: 글래밍,RPBC002,1
로즈마인_워시: 쁘띠 + 로션: 글래밍,RMBL003,1
로즈마인_워시: 쁘띠 + 로션: 머스크,RPBC002,1
로즈마인_워시: 쁘띠 + 로션: 머스크,RMBL004,1
로즈마인_워시: 쁘띠 + 로션: 쁘띠,RPBC002,1
로즈마인_워시: 쁘띠 + 로션: 쁘띠,RMBL002,1
로즈마인_워시: 쁘띠 + 워시: 글래밍,RPBC002,1
로즈마인_워시: 쁘띠 + 워시: 글래밍,RPBC003,1
로즈마인_워시: 쁘띠 x2,RPBC002,2
로즈마인_워시: 쁘띠 x3,RPBC002,3
로즈마인_워시: 플로랄,RPBC001,1
로즈마인_워시: 플로랄 + 로션: 클래식,RPBC001,1
로즈마인_워시: 플로랄 + 로션: 클래식,RMBL017,1
로즈마인_워시: 플로랄 + 로션: 플로랄,RPBC001,1
로즈마인_워시: 플로랄 + 로션: 플로랄,RMBL001,1
로즈마인_워시: 플로랄 + 워시: 글래밍,RPBC001,1
로즈마인_워시: 플로랄 + 워시: 글래밍,RPBC003,1
로즈마인_워시: 플로랄 + 워시: 모링가,RPBC001,1
로즈마인_워시: 플로랄 + 워시: 모링가,RPBC008,1
로즈마인_워시: 플로랄 x2,RPBC001,2
로즈마인_워시: 플로럴,RPBC001,1
로즈마인_워시: 플로럴 + 로션: 블레싱,RPBC001,1
로즈마인_워시: 플로럴 + 로션: 블레싱,RMBL006,1
로즈마인_워시: 플로럴 + 로션: 플로럴,RPBC001,1
로즈마인_워시: 플로럴 + 로션: 플로럴,RMBL001,1
로즈마인_워시: 플로럴 + 워시: 가든로즈,RPBC001,1
로즈마인_워시: 플로럴 + 워시: 가든로즈,RPBC015,1
로즈마인_워시: 플로럴 + 워시: 블레싱,RPBC001,1
로즈마인_워시: 플로럴 + 워시: 블레싱,RPBC006,1
로즈마인_워시: 플로럴 x2,RPBC001,2
로즈마인_워시: 플로럴 x3,RPBC001,3
로즈마인_핸드 60 가든로즈,RMHC001,2
로즈마인_핸드 60 머스크 x2,RMHC016,2
로즈마인_핸드 60 클래식,RMHC017,1
로즈마인_핸드 60 클래식 x2,RMHC017,10
로즈마인_핸드 60 패션 x3,RMHC002,3
로즈마인_핸드 60:  나나즈 x10,RMHC008,10
로즈마인_핸드 60:  머스크 x10,RMHC016,10
로즈마인_핸드 60:  머스크 x11,RMHC016,11
로즈마인_핸드 60: 가든로즈,RMHC001,1
로즈마인_핸드 60: 가든로즈 + 헤스페리 + 나나즈 + 라비에,RMHC001,1
로즈마인_핸드 60: 가든로즈 + 헤스페리 + 나나즈 + 라비에,RMHC007,1
로즈마인_핸드 60: 가든로즈 + 헤스페리 + 나나즈 + 라비에,RMHC008,1
로즈마인_핸드 60: 가든로즈 + 헤스페리 + 나나즈 + 라비에,RMHC019,1
로즈마인_핸드 60: 가든로즈 x10,RMHC001,10
로즈마인_핸드 60: 가든로즈 x2,RMHC001,2
로즈마인_핸드 60: 가든로즈 x3,RMHC001,3
로즈마인_핸드 60: 가든로즈 x4,RMHC001,4
로즈마인_핸드 60: 가든로즈 x5,RMHC001,5
로즈마인_핸드 60: 나나즈,RMHC008,1
로즈마인_핸드 60: 나나즈 x10,RMHC008,10
로즈마인_핸드 60: 나나즈 x3,RMHC008,3
로즈마인_핸드 60: 나나즈 x5,RMHC008,5
로즈마인_핸드 60: 라베에,RMHC019,1
로즈마인_핸드 60: 라비에,RMHC019,1
로즈마인_핸드 60: 라비에 x2,RMHC019,2
로즈마인_핸드 60: 머스크,RMHC016,1
로즈마인_핸드 60: 머스크 x10,RMHC016,10
로즈마인_핸드 60: 머스크 x2,RMHC016,2
로즈마인_핸드 60: 모링가,RMHC015,1
로즈마인_핸드 60: 모링가 x10,RMHC015,10
로즈마인_핸드 60: 모링가 x3,RMHC015,3
로즈마인_핸드 60: 쁘띠,RMHC003,1
로즈마인_핸드 60: 쁘띠 + 헤스페리 + 머스크 + 클래식,RMHC003,1
로즈마인_핸드 60: 쁘띠 + 헤스페리 + 머스크 + 클래식,RMHC007,1
